year,month,hou,1000hPa_omega,925hPa_omega,850hPa_omega
2000,1,1,-0.00352709293365479,0.00744791030883789,0.0070730447769165
2000,1,2,-0.0296394348144531,-0.0138145685195923,-0.019414496421814
2000,1,3,-0.0319769620895386,-0.0153019905090332,-0.0150395631790161
2000,1,4,0.000122952461242676,0.0553354740142822,0.0918104410171509
2000,1,5,-0.0101269721984863,0.00758543014526367,0.00604798793792725
2000,1,6,-0.0172415971755981,0.0346437295277913,0.0665605068206787
2000,2,1,-0.0137269973754883,0.010985541343689,0.00192291736602783
2000,2,2,-0.00352709293365479,0.0285480260848999,0.04109787940979
2000,2,3,-0.00412700176239014,0.0278980016708374,0.0406229972839355
2000,2,4,-0.0147270441055298,0.00978553295135498,0.00403547286987305
2000,2,5,-0.0163895130157471,0.0380603313446045,0.0355228900909424
2000,2,6,-0.0006428062915802,0.0591386258602142,0.0902166962623596
2000,3,1,-0.00530192852020264,0.0215105056762695,0.0181354284286499
2000,3,2,-0.0128020763397217,0.0224480152130127,0.0159479856491089
2000,3,3,-0.0236646175384521,-0.0103646278381348,-0.0112644910812378
2000,3,4,0.0152855634689331,0.0536229133605957,0.0598728895187378
2000,3,5,-0.0205269575119019,-0.0204519510269165,-0.0129895448684692
2000,3,6,0.00580004851023356,0.00924801826477051,0.00283131996790568
2000,4,1,-0.0178394556045532,0.00956041812896729,0.0192604541778564
2000,4,2,-0.00867702960968018,0.00401046276092529,-0.000402021408081055
2000,4,3,-0.00886447429656982,-0.0255643367767334,-0.0370020866394043
2000,4,4,0.00667295455932617,0.0271855592727661,0.0195730209350586
2000,4,5,-0.0305644750595093,-0.0345395803451538,-0.0327145576477051
2000,4,6,0.00218544006347656,0.0356480598449707,0.0559980154037476
2000,5,1,-0.00480196475982666,0.00167288780212402,0.00517294406890869
2000,5,2,-0.00310201644897461,0.0147229433059692,0.0190980434417725
2000,5,3,-0.011976957321167,-0.0174520492553711,-0.0291395902633667
2000,5,4,-0.0195644617080688,0.00854799747467041,0.0280853271484375
2000,5,5,0.0193854570388794,0.0568854570388794,0.0445105075836182
2000,5,6,0.0112999677658081,0.0113417506217957,-0.000866611798604329
2000,6,1,0.00122308731079102,-0.00576446056365967,-0.0290895700454712
2000,6,2,-0.00117702484130859,0.0142854690551758,0.0185228824615479
2000,6,3,0.00811030864715576,0.057797908782959,0.0876354217529297
2000,6,4,-0.00241444110870361,0.0177353858947754,0.01303551197052
2000,6,5,0.0166729927062988,0.0110978841781616,-0.0294394969940186
